Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33.0,9.96,16.0,Silver,Sapphire,Date,42 hours,"4,500"
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,39.0,8.25,20.0,Silver,Sapphire,,48 hours,"25,800"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,"8,200"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,39.0,9.4,20.0,Blue,Sapphire,"Date, Power Reserve Indicator",60 hours,"18,900"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"29,000"
Breguet,Type XX,Stainless Steel,Leather,Automatic,100 meters,39.5,14.1,20.0,Black,Sapphire,"Date, Chronograph, Flyback",48 hours,"8,800"
IWC,Portuguese,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Date,60 hours,"8,800"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,"6,500"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,"18,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,"24,000"
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,"13,000"
Hamilton,Khaki Field,Stainless Steel,Leather,Automatic,100 meters,38.0,9.8,20.0,Black,Sapphire,,80 hours,495
A. Lange & Șhne,Saxonia,Rose Gold,Leather,Manual,30 meters,38.5,7.8,18.0,Silver,Sapphire,,72 hours,"23,300"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"10,600"
Vacheron Constantin,Patrimony,18k Rose Gold,Leather,Manual,30 meters,42.0,7.65,20.0,Silver,Sapphire,,65 hours,"22,500"
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,39.0,9.9,19.0,Silver,Sapphire,Date,42 hours,"3,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.97,22.0,Black,Sapphire,Chronograph,42 hours,"5,800"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.0,20.0,Blue,Sapphire,Date,38 hours,"2,800"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,"16,800"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"14,000"
TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,42 hours,"6,550"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,"19,800"
IWC,Portugieser,Stainless Steel,Alligator,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Date,60 hours,"8,800"
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20.0,White,Sapphire,Date,38 hours,"21,500"
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,"6,600"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22.0,Blue,Sapphire,Date,40 hours,"20,000"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,Date,60 hours,"19,200"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.85,22.0,Blue,Sapphire,,42 hours,"7,500"
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,"4,200"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,39.0,10.86,20.0,Black,Sapphire,Date,42 hours,"4,500"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,"6,500"
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,7.45,20.0,Silver,Sapphire,,65 hours,"23,000"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,"16,000"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,Chronograph,72 hours,"16,000"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"15,000"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"12,800"
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41.0,13.0,20.0,White,Sapphire,Chronograph,42 hours,"4,200"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,000"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,Date,70 hours,"7,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,"49,800"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,14.75,22.0,Black,Sapphire,,70 hours,"3,800"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.2,12.6,22.0,Blue,Sapphire,Date,60 hours,"8,900"
Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,70 hours,"4,300"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45.0,10.95,24.0,Blue,Sapphire,Date,42 hours,"7,500"
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,42.3,13.4,22.0,Blue,Hardlex,,50 hours,650
Breitling,Superocean,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,42 hours,"4,500"
Zenith,El Primero,Stainless Steel,Alligator,Automatic,100 meters,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50 hours,"6,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,11.0,20.0,Blue,Sapphire,"Date, Second Time Zone",60 hours,"15,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,20.0,Blue,Sapphire,Date,54 hours,"12,000"
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40.0,13.0,20.0,Black,Sapphire,Date,48 hours,"9,500"
Oris,Big Crown ProPilot,Stainless Steel,Textile,Automatic,100 meters,41.0,12.0,20.0,Black,Sapphire,"Date, GMT",38 hours,"1,800"
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,400"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,Date,42 hours,"4,800"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.86,20.0,Black,Sapphire,Date,42 hours,"3,800"
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,35.1,8.83,22.0,Silver,Sapphire,Date,42 hours,"5,300"
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.0,20.0,Blue,Sapphire,Date,70 hours,"7,650"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,"15,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,22.0,Black,Sapphire,Chronograph,42 hours,"6,900"
Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21.0,Blue,Sapphire,Date,60 hours,"5,800"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"11,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"17,000"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,13.1,22.0,Silver,Sapphire,Chronograph,50 hours,"9,400"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,38.0,12.6,20.0,Silver,Sapphire,Chronograph,50 hours,"7,500"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,"3,200"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,"6,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"20,900"
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,40 hours,"5,200"
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.75,22.0,Blue,Sapphire,Date,64 hours,"1,400"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"19,900"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,20.0,Black,Sapphire,Date,42 hours,"5,900"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.3,20.0,Black,Sapphire,,42 hours,"6,500"
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,"3,900"
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,13.07,20.0,Black,Sapphire,Chronograph,48 hours,"6,800"
Patek Philippe,Calatrava,18K White Gold,Leather,Manual,30 meters,38.0,8.25,20.0,White,Sapphire,,44 hours,"25,000"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,43.0,13.4,23.0,Black,Sapphire,Date,120 hours,"14,700"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.7,20.0,White,Sapphire,Date,70 hours,"8,000"
Sinn,U1,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.3,22.0,Black,Sapphire,,38 hours,"2,500"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,Chronograph,50 hours,"7,400"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Date, Chronograph",72 hours,"13,000"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18.0,Silver,Sapphire,Date,42 hours,"4,700"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,"Chronograph, Date",50 hours,"6,900"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"9,000"
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40.0,9.35,20.0,Silver,Sapphire,Date,64 hours,"1,500"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,"Date, Power Reserve",70 hours,"6,000"
Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,"6,000"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,,120 hours,"10,500"
Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30 meters,40.0,6.79,20.0,Silver,Sapphire,,65 hours,"28,000"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,22.0,Black,Sapphire,"Date, GMT",72 hours,"7,500"
Bulova,Precisionist,Stainless Steel,Stainless Steel,Quartz,300 meters,46.5,17.5,24.0,Black,Mineral,Chronograph,,650
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.75,20.0,White,Sapphire,Chronograph,50 hours,"5,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,"8,900"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22.0,White,Sapphire,Date,60 hours,"7,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,,46 hours,"7,500"
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41.0,11.8,20.0,Blue,Sapphire,Date,70 hours,"9,500"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"13,500"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,Date,70 hours,"8,900"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"18,500"
Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,30 meters,40.0,6.79,20.0,White,Sapphire,,40 hours,"15,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.5,20.0,Silver,Sapphire,Chronograph,50 hours,"7,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Chronograph",50 hours,"22,300"
